"Innvandrere, etter region, kjønn, landbakgrunn, tid  og  statistikkvariabel"

" ";" ";"Nord-Amerika";0;0;0;0;0;0;0;0;0;0;40;42;42;43;41;39;37;38;38;39;43;45;48;50;54;52;54;53;52;51;52;53;54
" ";" ";"Sør- og Mellom-Amerika";0;0;0;0;0;0;0;0;0;0;29;32;34;35;36;38;48;48;56;63;64;66;67;69;79;79;83;91;94;103;110;108;109
" ";" ";"Oseania";0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;4;4;0;0;3;3;3;3;3;3;5;4;3;4;4;5;6;6
" ";" ";"Statsløse";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Uoppgitt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Hvaler"
" ";"Kvinner"
" ";" ";"Europa unntatt Tyrkia";37;34;34;33;34;34;35;37;37;35;37;39;42;39;41;38;34;33;37;43;44;45;43;41;53;51;54;57;60;67;71;77;88
" ";" ";"Afrika";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;9;13;14;17;16;19
" ";" ";"Asia med Tyrkia";0;0;3;3;3;3;3;3;3;3;4;3;3;3;0;0;3;3;3;3;3;3;7;3;5;11;13;15;20;19;27;32;30
" ";" ";"Nord-Amerika";3;3;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;4;3;3;4;4;4;4;5;4;5;4;4;0;0;4;6
" ";" ";"Sør- og Mellom-Amerika";0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;0;0;3;3;3;3;3;4;5;7;7;7;8;6
" ";" ";"Oseania";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Statsløse";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Uoppgitt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Aremark"
" ";"Kvinner"
" ";" ";"Europa unntatt Tyrkia";26;16;17;16;16;18;17;17;19;17;15;16;15;16;16;16;21;13;18;23;24;23;27;24;27;23;23;20;19;17;16;19;22
" ";" ";"Afrika";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;4
" ";" ";"Asia med Tyrkia";0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;5;3;3;3;4;3;3;3;6;8;7;7;7;10;12
" ";" ";"Nord-Amerika";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Sør- og Mellom-Amerika";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Oseania";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Statsløse";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";" ";"Uoppgitt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Marker"
" ";"Kvinner"
" ";" ";"Europa unntatt Tyrkia";43;41;38;37;39;38;38;41;41;42;41;48;51;55;59;59;59;66;68;70;75;80;85;93;97;96;105;98;107;107;105;108;103
" ";" ";"Afrika";0;0;0;0;3;3;3;6;5;3;4;4;3;0;0;0;3;0;0;3;3;5;4;7;7;9;7;7;9;9;8;10;11
" ";" ";"Asia med Tyrkia";0;0;3;4;6;7;6;6;6;6;6;6;6;6;6;12;8;9;9;12;15;16;19;18;18;20;23;21;23;30;29;27;25
