Nettoforbruk av elektrisk kraft (GWh), etter region, forbrukargruppe, tid  og ;;;;;
 statistikkvariabel;;;;;
;;;;;
 ; ;2011;2012;2013;2014
 ; ;Forbruk i alt;Forbruk i alt;Forbruk i alt;Forbruk i alt
 ;Primærnæringer;2.3;2.4;2.2;1.9
 ;Hushald;18.7;19.4;20.5;19.8
 ;Hytter og fritidshus;3.4;3.8;4.1;4.1
Rendalen;;;;;
 ;ALLE FORBRUKARGRUPPER;33.6;35.0;35.0;32.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.1;2.1;2.0;1.2
 ;TENESTEYTING MV.;8.0;8.9;8.5;8.2
 ;HUSHALD OG JORDBRUK;23.6;23.9;24.5;22.7
 ;Primærnæringer;3.7;3.8;1.5;0.4
 ;Hushald;13.8;14.1;16.7;16.4
 ;Hytter og fritidshus;6.0;6.1;6.3;6.0
Engerdal;;;;;
 ;ALLE FORBRUKARGRUPPER;31.3;31.0;31.6;30.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.9;0.5;0.4;0.5
 ;TENESTEYTING MV.;10.4;10.3;10.7;10.2
 ;HUSHALD OG JORDBRUK;19.0;20.1;20.4;19.3
 ;Primærnæringer;1.3;1.6;1.4;1.2
 ;Hushald;10.6;11.3;11.7;11.3
 ;Hytter og fritidshus;7.1;7.2;7.4;6.8
Tolga;;;;;
 ;ALLE FORBRUKARGRUPPER;25.9;24.9;25.0;24.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;5.3;3.8;3.1;3.3
 ;TENESTEYTING MV.;4.5;4.5;4.7;4.4
 ;HUSHALD OG JORDBRUK;16.1;16.5;17.2;16.2
 ;Primærnæringer;6.6;6.9;3.4;1.8
 ;Hushald;8.1;8.3;12.3;13.1
 ;Hytter og fritidshus;1.4;1.3;1.4;1.3
Tynset;;;;;
 ;ALLE FORBRUKARGRUPPER;87.7;92.9;94.2;90.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;7.0;7.0;6.8;6.4
 ;TENESTEYTING MV.;31.0;33.6;33.0;32.9
 ;HUSHALD OG JORDBRUK;49.6;52.3;54.3;50.8
 ;Primærnæringer;11.6;11.9;6.1;4.1
 ;Hushald;33.5;35.5;41.3;41.4
 ;Hytter og fritidshus;4.5;5.0;7.0;5.3
Alvdal;;;;;
 ;ALLE FORBRUKARGRUPPER;52.8;56.4;57.5;55.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;19.3;21.1;20.9;21.2
 ;TENESTEYTING MV.;11.5;12.4;12.0;12.3
 ;HUSHALD OG JORDBRUK;22.1;22.9;24.6;22.2
 ;Primærnæringer;6.5;6.5;2.9;1.1
 ;Hushald;14.5;15.2;19.3;19.8
 ;Hytter og fritidshus;1.1;1.2;2.4;1.3
Folldal;;;;;
 ;ALLE FORBRUKARGRUPPER;35.8;35.5;36.3;38.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;11.4;10.3;10.3;12.9
 ;TENESTEYTING MV.;6.9;7.2;7.3;7.6
 ;HUSHALD OG JORDBRUK;17.5;18.0;18.7;17.7
 ;Primærnæringer;4.8;4.9;2.2;0.9
 ;Hushald;9.9;10.3;13.6;14.1
 ;Hytter og fritidshus;2.8;2.8;2.9;2.8
Os (Hedm.);;;;;
 ;ALLE FORBRUKARGRUPPER;30.7;32.2;33.2;32.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.6;2.6;2.5;2.8
 ;TENESTEYTING MV.;6.6;7.0;7.1;6.7
 ;HUSHALD OG JORDBRUK;21.5;22.7;23.5;22.7
 ;Primærnæringer;7.4;7.5;3.1;1.4
 ;Hushald;11.0;11.8;16.9;17.6
 ;Hytter og fritidshus;3.0;3.3;3.5;3.7
Lillehammer;;;;;
 ;ALLE FORBRUKARGRUPPER;448.6;461.2;463.0;439.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;41.3;42.1;41.7;41.9
 ;TENESTEYTING MV.;212.0;211.6;206.0;191.9
 ;HUSHALD OG JORDBRUK;195.2;207.5;215.3;205.9
 ;Primærnæringer;4.5;4.9;4.6;4.3
 ;Hushald;185.6;197.0;204.6;195.7
 ;Hytter og fritidshus;5.1;5.6;6.1;5.9
Gjøvik;;;;;
 ;ALLE FORBRUKARGRUPPER;603.6;603.1;604.6;569.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;157.2;143.3;139.6;129.1
 ;TENESTEYTING MV.;218.9;218.4;220.1;202.4
 ;HUSHALD OG JORDBRUK;227.4;241.3;244.9;238.5
 ;Primærnæringer;9.9;10.8;10.7;10.2
 ;Hushald;215.1;228.1;231.6;225.7
 ;Hytter og fritidshus;2.3;2.4;2.6;2.5
Dovre;;;;;
 ;ALLE FORBRUKARGRUPPER;70.2;71.0;72.4;69.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;5.9;5.4;5.0;4.8
 ;TENESTEYTING MV.;37.4;36.6;37.3;37.3
 ;HUSHALD OG JORDBRUK;26.9;29.0;30.1;27.8
 ;Primærnæringer;7.0;7.2;7.2;6.7
 ;Hushald;17.8;19.4;20.4;18.7
 ;Hytter og fritidshus;2.2;2.4;2.6;2.4
Lesja;;;;;
 ;ALLE FORBRUKARGRUPPER;49.3;52.9;54.0;50.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.1;2.2;1.8;1.7
 ;TENESTEYTING MV.;13.4;13.5;13.5;12.7
 ;HUSHALD OG JORDBRUK;33.8;37.2;38.7;35.9
 ;Primærnæringer;11.1;11.8;11.8;11.3
 ;Hushald;10.4;11.4;11.9;11.1
 ;Hytter og fritidshus;12.3;14.1;15.0;13.4
Skjåk;;;;;
 ;ALLE FORBRUKARGRUPPER;39.9;41.5;43.0;39.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;4.2;4.1;4.6;4.4
 ;TENESTEYTING MV.;12.0;12.6;13.0;12.3
 ;HUSHALD OG JORDBRUK;23.7;24.8;25.3;23.1
 ;Primærnæringer;8.0;7.8;6.8;6.4
 ;Hushald;13.1;14.1;15.3;13.7
 ;Hytter og fritidshus;2.6;2.9;3.3;3.0
Lom;;;;;
 ;ALLE FORBRUKARGRUPPER;46.2;48.4;49.3;46.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;8.6;8.6;7.6;7.3
 ;TENESTEYTING MV.;16.9;17.4;18.7;17.6
 ;HUSHALD OG JORDBRUK;20.7;22.4;23.0;21.1
 ;Primærnæringer;6.7;7.1;7.0;6.6
 ;Hushald;13.1;14.3;14.9;13.5
 ;Hytter og fritidshus;0.9;1.0;1.1;1.0
Vågå;;;;;
 ;ALLE FORBRUKARGRUPPER;55.7;57.8;59.9;55.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;4.5;4.5;4.9;5.5
 ;TENESTEYTING MV.;18.2;17.6;17.3;15.9
 ;HUSHALD OG JORDBRUK;32.9;35.6;37.6;34.4
 ;Primærnæringer;7.8;8.2;8.1;7.7
 ;Hushald;21.7;23.3;25.2;22.6
 ;Hytter og fritidshus;3.4;4.0;4.3;4.1
Nord-Fron;;;;;
 ;ALLE FORBRUKARGRUPPER;107.0;110.4;105.5;100.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;16.1;14.7;6.6;4.7
 ;TENESTEYTING MV.;32.8;33.7;34.6;35.9
 ;HUSHALD OG JORDBRUK;58.0;62.0;64.3;60.0
 ;Primærnæringer;7.2;7.1;5.4;5.0
 ;Hushald;41.9;44.7;47.8;44.7
 ;Hytter og fritidshus;8.9;10.3;11.1;10.3
Sel;;;;;
 ;ALLE FORBRUKARGRUPPER;113.6;116.4;117.8;108.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;21.3;18.0;17.3;17.2
 ;TENESTEYTING MV.;41.8;41.9;42.4;38.5
 ;HUSHALD OG JORDBRUK;50.4;56.6;58.1;52.7
 ;Primærnæringer;6.4;6.8;6.2;5.7
 ;Hushald;38.0;42.6;44.3;39.8
 ;Hytter og fritidshus;6.1;7.1;7.6;7.2
Sør-Fron;;;;;
 ;ALLE FORBRUKARGRUPPER;67.6;69.8;73.0;72.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.9;0.9;0.9;0.9
 ;TENESTEYTING MV.;28.6;27.3;28.7;31.2
 ;HUSHALD OG JORDBRUK;38.2;41.6;43.4;40.4
 ;Primærnæringer;6.5;6.7;5.2;4.8
 ;Hushald;21.5;23.5;25.5;23.6
 ;Hytter og fritidshus;10.3;11.4;12.7;12.0
Ringebu;;;;;
 ;ALLE FORBRUKARGRUPPER;114.6;121.5;125.5;119.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;21.1;21.4;22.0;21.6
 ;TENESTEYTING MV.;33.8;35.5;36.5;34.9
 ;HUSHALD OG JORDBRUK;59.7;64.7;66.9;62.9
 ;Primærnæringer;9.0;9.1;7.9;7.4
 ;Hushald;29.4;31.6;34.3;31.9
 ;Hytter og fritidshus;21.4;24.0;24.7;23.7
Øyer;;;;;
 ;ALLE FORBRUKARGRUPPER;115.8;119.9;122.3;116.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;11.9;9.1;8.4;8.4
 ;TENESTEYTING MV.;37.2;37.3;38.6;36.9
 ;HUSHALD OG JORDBRUK;66.7;73.5;75.2;71.4
 ;Primærnæringer;7.5;7.5;6.1;5.8
 ;Hushald;32.0;35.1;37.5;35.1
 ;Hytter og fritidshus;27.2;30.9;31.5;30.5
Gausdal;;;;;
 ;ALLE FORBRUKARGRUPPER;105.1;112.9;116.3;111.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;10.8;12.2;12.2;11.4
 ;TENESTEYTING MV.;30.0;30.9;31.1;30.6
 ;HUSHALD OG JORDBRUK;64.3;69.8;73.1;69.9
 ;Primærnæringer;8.5;9.5;10.3;9.6
 ;Hushald;42.8;45.9;47.4;45.4
 ;Hytter og fritidshus;13.0;14.4;15.4;14.8
Østre Toten;;;;;
 ;ALLE FORBRUKARGRUPPER;195.5;205.5;202.8;194.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;25.2;28.6;21.4;20.7
 ;TENESTEYTING MV.;47.9;49.0;49.1;46.5
 ;HUSHALD OG JORDBRUK;122.4;127.9;132.4;126.8
 ;Primærnæringer;23.9;24.4;24.3;23.9
 ;Hushald;97.6;102.5;107.0;102.0
 ;Hytter og fritidshus;1.0;1.0;1.1;1.0
Vestre Toten;;;;;
 ;ALLE FORBRUKARGRUPPER;332.8;336.9;325.8;325.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;180.8;175.9;161.5;166.9
 ;TENESTEYTING MV.;53.5;56.9;56.7;51.6
 ;HUSHALD OG JORDBRUK;98.4;104.1;107.7;106.5
 ;Primærnæringer;8.3;8.8;8.4;8.0
 ;Hushald;88.9;94.1;98.1;97.3
 ;Hytter og fritidshus;1.1;1.1;1.2;1.2
Jevnaker;;;;;
 ;ALLE FORBRUKARGRUPPER;84.1;86.2;86.1;80.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;15.9;16.3;15.6;13.9
 ;TENESTEYTING MV.;20.6;20.7;19.4;18.4
 ;HUSHALD OG JORDBRUK;47.5;49.1;51.1;48.2
 ;Primærnæringer;3.0;3.0;3.0;2.9
 ;Hushald;43.6;45.2;46.9;44.3
 ;Hytter og fritidshus;1.0;0.9;1.2;1.0
Lunner;;;;;
 ;ALLE FORBRUKARGRUPPER;124.4;118.0;126.9;121.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.9;1.4;1.5;1.6
 ;TENESTEYTING MV.;45.3;34.5;41.3;39.2
 ;HUSHALD OG JORDBRUK;77.2;82.2;84.1;80.2
 ;Primærnæringer;4.5;4.3;4.0;3.8
 ;Hushald;66.4;71.0;72.8;69.6
 ;Hytter og fritidshus;6.3;7.0;7.2;6.8
Gran;;;;;
 ;ALLE FORBRUKARGRUPPER;180.0;190.4;193.7;185.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;11.4;11.6;15.4;13.9
 ;TENESTEYTING MV.;55.5;59.2;56.0;56.3
 ;HUSHALD OG JORDBRUK;113.1;119.6;122.4;115.3
 ;Primærnæringer;14.5;15.2;14.1;13.2
 ;Hushald;94.9;100.6;104.4;98.4
 ;Hytter og fritidshus;3.6;3.8;4.0;3.7
Søndre Land;;;;;
 ;ALLE FORBRUKARGRUPPER;80.5;82.8;82.7;79.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;4.4;4.3;3.2;3.6
 ;TENESTEYTING MV.;21.5;22.9;22.4;21.9
 ;HUSHALD OG JORDBRUK;54.5;55.6;57.2;53.8
 ;Primærnæringer;3.9;4.0;3.7;3.7
 ;Hushald;46.4;47.4;48.8;45.9
 ;Hytter og fritidshus;4.2;4.2;4.7;4.2
Nordre Land;;;;;
 ;ALLE FORBRUKARGRUPPER;112.1;117.7;119.8;113.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;21.0;23.0;21.7;20.8
 ;TENESTEYTING MV.;28.3;29.1;29.7;28.2
 ;HUSHALD OG JORDBRUK;62.8;65.6;68.3;64.5
 ;Primærnæringer;0.8;0.8;0.8;0.8
 ;Hushald;52.6;54.9;56.7;53.2
 ;Hytter og fritidshus;9.4;9.9;10.9;10.4
Sør-Aurdal;;;;;
 ;ALLE FORBRUKARGRUPPER;50.4;54.8;57.2;52.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;7.8;7.7;8.0;7.3
 ;TENESTEYTING MV.;12.2;12.3;13.5;12.2
 ;HUSHALD OG JORDBRUK;30.5;34.8;35.6;33.3
 ;Primærnæringer;1.2;1.3;1.3;1.2
 ;Hushald;23.0;25.6;26.0;23.9
 ;Hytter og fritidshus;6.3;7.8;8.3;8.1
Etnedal;;;;;
 ;ALLE FORBRUKARGRUPPER;26.9;27.9;29.2;28.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;0.4;0.4;0.5;0.4
 ;TENESTEYTING MV.;6.1;6.6;6.7;6.6
 ;HUSHALD OG JORDBRUK;20.4;20.9;22.0;21.7
 ;Primærnæringer;0.2;0.2;0.2;0.2
 ;Hushald;11.7;11.9;12.1;12.1
 ;Hytter og fritidshus;8.4;8.8;9.8;9.5
Nord-Aurdal;;;;;
 ;ALLE FORBRUKARGRUPPER;128.8;134.6;138.0;127.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;6.5;6.6;5.5;4.3
 ;TENESTEYTING MV.;49.6;49.2;57.2;53.4
 ;HUSHALD OG JORDBRUK;72.7;78.8;75.3;70.0
 ;Primærnæringer;7.0;7.2;4.0;3.6
 ;Hushald;40.3;42.9;53.1;48.9
 ;Hytter og fritidshus;25.4;28.6;18.2;17.4
Vestre Slidre;;;;;
 ;ALLE FORBRUKARGRUPPER;47.4;52.9;53.5;48.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.4;2.5;5.7;3.7
 ;TENESTEYTING MV.;18.0;19.0;10.8;9.9
 ;HUSHALD OG JORDBRUK;27.0;31.3;37.0;35.1
 ;Primærnæringer;2.7;2.9;5.9;5.7
 ;Hushald;15.3;17.4;14.4;13.4
 ;Hytter og fritidshus;9.0;10.9;16.8;16.0
Øystre Slidre;;;;;
 ;ALLE FORBRUKARGRUPPER;79.0;84.4;85.6;81.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;4.0;4.3;3.4;3.2
 ;TENESTEYTING MV.;30.9;31.6;29.8;27.8
 ;HUSHALD OG JORDBRUK;44.0;48.5;52.3;50.1
 ;Primærnæringer;4.3;4.6;5.3;4.7
 ;Hushald;24.9;27.0;23.0;21.9
 ;Hytter og fritidshus;14.8;16.9;24.1;23.5
Vang;;;;;
 ;ALLE FORBRUKARGRUPPER;37.1;37.5;38.8;38.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;1.4;1.4;1.5;1.4
 ;TENESTEYTING MV.;11.3;11.1;11.6;12.7
 ;HUSHALD OG JORDBRUK;24.4;25.0;25.7;24.0
 ;Primærnæringer;7.9;8.1;7.3;6.3
 ;Hushald;7.6;7.5;8.3;7.8
 ;Hytter og fritidshus;8.9;9.4;10.1;9.9
Drammen;;;;;
 ;ALLE FORBRUKARGRUPPER;913.7;961.3;933.1;919.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;133.9;155.7;130.0;165.0
 ;TENESTEYTING MV.;333.6;343.5;348.1;328.7
 ;HUSHALD OG JORDBRUK;446.1;462.2;455.0;425.4
 ;Primærnæringer;2.0;2.9;2.9;2.6
 ;Hushald;443.9;459.0;451.8;422.4
 ;Hytter og fritidshus;0.1;0.2;0.3;0.4
Kongsberg;;;;;
 ;ALLE FORBRUKARGRUPPER;421.3;450.8;463.4;436.2
 ;BERGVERKSDRIFT OG INDUSTRI MV.;103.7;119.1;121.2;109.4
 ;TENESTEYTING MV.;116.5;119.4;124.0;117.5
 ;HUSHALD OG JORDBRUK;201.1;212.3;218.3;209.3
 ;Primærnæringer;1.7;1.8;2.3;2.1
 ;Hushald;191.6;203.7;207.6;197.6
 ;Hytter og fritidshus;7.8;6.8;8.4;9.7
Ringerike;;;;;
 ;ALLE FORBRUKARGRUPPER;1178.1;660.7;493.2;455.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;804.8;287.8;102.6;80.6
 ;TENESTEYTING MV.;145.0;159.9;168.5;165.1
 ;HUSHALD OG JORDBRUK;228.2;212.9;222.1;209.7
 ;Primærnæringer;6.9;2.3;2.6;2.7
 ;Hushald;213.4;202.6;210.5;198.9
 ;Hytter og fritidshus;7.9;8.1;9.0;8.1
Hole;;;;;
 ;ALLE FORBRUKARGRUPPER;64.7;71.2;75.0;72.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.4;1.8;1.8;2.0
 ;TENESTEYTING MV.;19.9;25.2;26.7;25.9
 ;HUSHALD OG JORDBRUK;42.4;44.2;46.5;44.1
 ;Primærnæringer;1.3;1.5;1.4;1.7
 ;Hushald;39.5;40.3;42.4;40.0
 ;Hytter og fritidshus;1.6;2.4;2.7;2.5
Flå;;;;;
 ;ALLE FORBRUKARGRUPPER;23.5;26.3;28.3;27.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;2.1;2.1;2.5;2.7
 ;TENESTEYTING MV.;7.3;8.1;8.5;8.2
 ;HUSHALD OG JORDBRUK;14.1;16.1;17.3;17.1
 ;Primærnæringer;0.9;0.0;0.0;0.0
 ;Hushald;7.9;9.4;9.8;8.9
 ;Hytter og fritidshus;5.3;6.7;7.4;8.1
Nes (Busk.);;;;;
 ;ALLE FORBRUKARGRUPPER;103.6;115.2;96.4;88.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;5.9;5.8;5.9;5.8
 ;TENESTEYTING MV.;50.5;58.7;37.0;34.2
 ;HUSHALD OG JORDBRUK;47.3;50.7;53.5;48.8
 ;Primærnæringer;2.2;0.4;0.7;0.7
 ;Hushald;27.1;30.4;31.8;28.2
 ;Hytter og fritidshus;18.0;19.9;21.0;19.9
Gol;;;;;
 ;ALLE FORBRUKARGRUPPER;114.0;119.4;123.8;114.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;8.2;8.4;8.3;7.3
 ;TENESTEYTING MV.;53.3;54.5;56.4;52.5
 ;HUSHALD OG JORDBRUK;52.6;56.5;59.1;54.6
 ;Primærnæringer;5.2;1.5;1.7;1.5
 ;Hushald;35.3;41.1;42.5;38.4
 ;Hytter og fritidshus;12.0;13.9;15.0;14.7
Hemsedal;;;;;
 ;ALLE FORBRUKARGRUPPER;84.0;89.4;90.8;86.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3.3;2.9;3.1;2.9
 ;TENESTEYTING MV.;37.8;39.6;39.6;38.5
 ;HUSHALD OG JORDBRUK;42.9;46.9;48.1;45.3
 ;Primærnæringer;5.7;6.1;6.0;5.5
 ;Hushald;17.1;18.2;18.5;17.2
 ;Hytter og fritidshus;20.1;22.7;23.6;22.5
Ål;;;;;
 ;ALLE FORBRUKARGRUPPER;119.8;124.3;130.2;123.4
 ;BERGVERKSDRIFT OG INDUSTRI MV.;19.4;17.4;20.3;20.7
 ;TENESTEYTING MV.;36.9;39.5;40.8;38.2
 ;HUSHALD OG JORDBRUK;63.6;67.3;69.1;64.5
 ;Primærnæringer;7.6;2.1;2.0;2.1
 ;Hushald;40.1;47.7;48.3;44.2
 ;Hytter og fritidshus;15.8;17.6;18.9;18.2
Hol;;;;;
 ;ALLE FORBRUKARGRUPPER;186.2;193.4;199.8;191.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;8.8;5.7;5.6;5.5
 ;TENESTEYTING MV.;75.9;80.8;82.4;80.9
 ;HUSHALD OG JORDBRUK;101.5;107.0;111.7;104.7
 ;Primærnæringer;3.7;1.6;1.7;1.6
 ;Hushald;42.4;46.3;47.6;43.4
 ;Hytter og fritidshus;55.5;59.0;62.3;59.8
Sigdal;;;;;
 ;ALLE FORBRUKARGRUPPER;66.1;71.5;75.3;71.1
 ;BERGVERKSDRIFT OG INDUSTRI MV.;6.1;6.0;6.4;6.0
 ;TENESTEYTING MV.;12.0;12.0;13.1;11.9
 ;HUSHALD OG JORDBRUK;48.0;53.5;55.7;53.2
 ;Primærnæringer;5.2;5.5;2.0;1.8
 ;Hushald;21.3;23.1;27.6;25.6
 ;Hytter og fritidshus;21.5;24.9;26.1;25.8
Krødsherad;;;;;
 ;ALLE FORBRUKARGRUPPER;50.0;53.0;54.4;52.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;4.3;4.2;4.6;4.7
 ;TENESTEYTING MV.;16.6;18.1;17.1;17.1
 ;HUSHALD OG JORDBRUK;29.1;30.6;32.7;30.9
 ;Primærnæringer;0.3;0.3;0.3;0.4
 ;Hushald;16.6;17.5;18.3;17.1
 ;Hytter og fritidshus;12.2;12.9;14.0;13.5
Modum;;;;;
 ;ALLE FORBRUKARGRUPPER;169.7;172.1;180.3;166.5
 ;BERGVERKSDRIFT OG INDUSTRI MV.;23.5;16.2;17.8;17.4
 ;TENESTEYTING MV.;48.7;51.5;53.5;50.1
 ;HUSHALD OG JORDBRUK;97.5;104.4;109.0;99.0
 ;Primærnæringer;8.1;8.3;2.6;2.1
 ;Hushald;88.3;94.9;105.2;95.7
 ;Hytter og fritidshus;1.1;1.2;1.3;1.2
Øvre Eiker;;;;;
 ;ALLE FORBRUKARGRUPPER;324.3;376.0;357.7;327.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;141.2;177.9;154.3;135.9
 ;TENESTEYTING MV.;57.2;64.4;64.6;61.0
 ;HUSHALD OG JORDBRUK;125.9;133.7;138.8;130.8
 ;Primærnæringer;3.7;5.7;5.3;5.9
 ;Hushald;121.7;127.4;133.0;124.3
 ;Hytter og fritidshus;0.6;0.7;0.5;0.5
Nedre Eiker;;;;;
 ;ALLE FORBRUKARGRUPPER;259.0;269.7;276.6;254.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;36.9;38.2;39.8;34.1
 ;TENESTEYTING MV.;66.9;69.6;72.1;63.9
 ;HUSHALD OG JORDBRUK;155.2;161.9;164.6;156.6
 ;Primærnæringer;1.0;0.9;1.2;1.1
 ;Hushald;153.9;160.8;163.1;155.2
 ;Hytter og fritidshus;0.3;0.2;0.3;0.3
Lier;;;;;
 ;ALLE FORBRUKARGRUPPER;430.5;439.1;449.3;428.6
 ;BERGVERKSDRIFT OG INDUSTRI MV.;76.2;70.8;71.2;68.7
 ;TENESTEYTING MV.;102.9;107.5;110.8;108.0
 ;HUSHALD OG JORDBRUK;251.4;260.9;267.3;251.9
 ;Primærnæringer;90.8;88.8;89.7;84.4
 ;Hushald;160.1;171.5;177.0;167.0
 ;Hytter og fritidshus;0.6;0.6;0.6;0.5
Røyken;;;;;
 ;ALLE FORBRUKARGRUPPER;207.3;215.4;224.9;212.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;7.2;6.3;5.6;5.6
 ;TENESTEYTING MV.;63.9;65.6;69.6;66.8
 ;HUSHALD OG JORDBRUK;136.3;143.5;149.8;140.4
 ;Primærnæringer;1.0;1.1;0.9;0.9
 ;Hushald;132.3;139.3;145.7;136.3
 ;Hytter og fritidshus;2.9;3.1;3.1;3.1
Hurum;;;;;
 ;ALLE FORBRUKARGRUPPER;403.3;360.3;328.3;158.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;295.7;249.4;212.3;49.5
 ;TENESTEYTING MV.;25.5;26.0;28.7;26.8
 ;HUSHALD OG JORDBRUK;82.1;84.9;87.3;82.0
 ;Primærnæringer;2.6;2.5;2.2;1.9
 ;Hushald;69.0;71.7;73.9;69.5
 ;Hytter og fritidshus;10.6;10.8;11.2;10.5
Flesberg;;;;;
 ;ALLE FORBRUKARGRUPPER;48.0;49.6;52.9;50.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;7.1;7.2;7.8;7.7
 ;TENESTEYTING MV.;7.5;7.5;7.8;7.7
 ;HUSHALD OG JORDBRUK;33.4;34.8;37.4;35.4
 ;Primærnæringer;0.0;0.0;0.0;0.0
 ;Hushald;19.4;19.7;20.7;19.2
 ;Hytter og fritidshus;14.0;15.1;16.6;16.1
Rollag;;;;;
 ;ALLE FORBRUKARGRUPPER;38.8;38.2;40.2;38.9
 ;BERGVERKSDRIFT OG INDUSTRI MV.;14.7;12.8;13.9;12.9
 ;TENESTEYTING MV.;6.4;6.8;6.4;7.0
 ;HUSHALD OG JORDBRUK;17.7;18.6;19.9;19.0
 ;Primærnæringer;0.2;0.2;0.3;0.2
 ;Hushald;10.8;11.0;11.3;10.2
 ;Hytter og fritidshus;6.7;7.4;8.3;8.7
Nore og Uvdal;;;;;
 ;ALLE FORBRUKARGRUPPER;51.8;56.3;60.1;57.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;3.4;4.4;4.9;5.5
 ;TENESTEYTING MV.;13.2;13.7;14.6;13.9
 ;HUSHALD OG JORDBRUK;35.2;38.2;40.5;38.3
 ;Primærnæringer;1.6;1.6;1.6;1.4
 ;Hushald;18.7;19.5;20.1;18.9
 ;Hytter og fritidshus;15.0;17.1;18.7;18.0
Horten;;;;;
 ;ALLE FORBRUKARGRUPPER;350.7;370.1;383.7;361.0
 ;BERGVERKSDRIFT OG INDUSTRI MV.;54.5;57.0;59.4;53.4
 ;TENESTEYTING MV.;109.3;116.6;118.1;112.3
 ;HUSHALD OG JORDBRUK;187.0;196.5;206.2;195.3
 ;Primærnæringer;3.2;3.0;3.0;3.0
 ;Hushald;181.9;191.6;201.0;190.3
 ;Hytter og fritidshus;1.9;1.9;2.2;2.0
Holmestrand;;;;;
 ;ALLE FORBRUKARGRUPPER;233.8;236.3;251.6;232.3
 ;BERGVERKSDRIFT OG INDUSTRI MV.;113.9;105.4;114.1;104.0
 ;TENESTEYTING MV.;43.9;50.5;54.2;48.4
 ;HUSHALD OG JORDBRUK;76.0;80.4;83.3;80.0
 ;Primærnæringer;3.2;3.4;3.3;3.0
 ;Hushald;72.5;76.7;79.7;76.6
 ;Hytter og fritidshus;0.2;0.3;0.3;0.3
Tønsberg;;;;;
 ;ALLE FORBRUKARGRUPPER;767.2;777.2;793.8;740.8
 ;BERGVERKSDRIFT OG INDUSTRI MV.;219.1;207.4;217.9;193.9
 ;TENESTEYTING MV.;263.9;269.4;261.9;251.3
 ;HUSHALD OG JORDBRUK;284.2;300.5;314.0;295.6
 ;Primærnæringer;9.4;11.3;12.6;10.4
 ;Hushald;273.6;287.8;299.9;283.8
 ;Hytter og fritidshus;1.2;1.3;1.5;1.4
Sandefjord;;;;;
 ;ALLE FORBRUKARGRUPPER;574.1;601.2;629.7;593.7
 ;BERGVERKSDRIFT OG INDUSTRI MV.;52.5;56.0;65.5;59.3
 ;TENESTEYTING MV.;196.4;202.6;206.9;199.2
 ;HUSHALD OG JORDBRUK;325.2;342.7;357.2;335.2
