"Omsetning per innbygger i detaljhandel (kr), etter region, tid  og "
" statistikkvariabel"

" ";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
" ";"Omsetning";"Omsetning";"Omsetning";"Omsetning";"Omsetning";"Omsetning";"Omsetning"
"Rollag";39518;39878;40244;43914;43942;48994;48652
"Nore og Uvdal";48539;52045;52533;55681;56564;61444;63987
"Horten";56060;56772;58469;58546;60930;60682;62385
"Holmestrand";67143;66239;64136;65075;65633;64918;67024
"Tønsberg";101971;99868;99249;100421;102380;98493;103360
"Sandefjord";96615;96592;118582;125403;125792;130230;142374
"Larvik";67750;68073;67065;68598;72003;73072;74479
"Svelvik";28122;28853;28828;28721;30115;32858;32268
"Sande (Vestf.)";34439;35601;37114;37731;43611;44721;45590
"Hof";26320;26055;26298;26383;27097;27567;28246
"Re";46751;54591;59181;63714;65588;67326;66771
"Andebu";35479;38077;41537;43160;54545;56142;62629
"Stokke";31656;33361;35182;37670;41895;43318;40944
"Nøtterøy";41578;41732;43110;44290;44643;45798;45512
"Tjøme";59558;58027;58350;55237;54754;55341;55054
"Lardal";23608;25312;26162;26730;28404;28877;28822
"Porsgrunn";73508;74535;74205;73036;72171;70598;72595
"Skien";70143;70416;74145;75231;77531;77307;79659
"Notodden";74617;76703;77501;81056;83444;85025;87467
"Siljan";12384;12540;12101;13127;14285;14310;14369
"Bamble";60986;62247;64856;67214;75561;78931;78088
"Kragerø";78625;75776;77782;79163;80240;80623;84701
"Drangedal";38049;40718;41583;46290;47458;48366;50956
"Nome";39331;39588;40342;40443;40909;41384;42802
"Bø (Telem.)";98858;96014;98252;95857;97987;103845;105383
"Sauherad";19295;21592;21658;24438;26380;25884;26603
"Tinn";60685;64516;65664;66357;69464;70968;74280
"Hjartdal";35642;36078;38165;42695;40140;44297;44953
"Seljord";108672;119068;119594;125561;123638;127805;125365
"Kviteseid";53502;52341;53611;56062;57107;53911;57142
"Nissedal";54509;54774;57989;59910;59247;60095;64919
"Fyresdal";31591;35127;36115;37585;39194;38984;41604
"Tokke";29387;30430;30953;31121;30636;30628;30847
"Vinje";73944;75444;78809;81543;83513;88013;91276
"Risør";63799;63305;62311;61363;62670;62295;66143
"Grimstad";67969;66604;63196;62495;67468;68594;70160
"Arendal";87176;88695;86814;87188;91157;89794;89569
"Gjerstad";53225;56500;58198;61789;67363;67633;71883
"Vegårshei";38110;38725;38762;34226;35177;35766;31558
"Tvedestrand";71480;79545;83526;84028;84735;86056;89262
"Froland";31088;30537;33150;34030;35265;33245;29291
"Lillesand";57398;56836;68386;104532;101381;100512;104431
"Birkenes";33197;32107;32381;32192;30547;29485;30824
"Åmli";83607;89356;84292;78875;92568;116890;134369
"Iveland";24368;24217;22439;23956;25317;24656;29427
"Evje og Hornnes";96903;100849;103031;101475;104376;109908;116352
"Bygland";24756;25149;26581;25872;26328;26893;25579
"Valle";50066;53546;53781;50544;50219;48085;47720
"Bykle";87245;87088;85767;85526;89070;99934;99972
"Kristiansand";82055;85481;85240;86758;88519;89502;92035
"Mandal";67002;71256;70698;70623;71814;71728;74860
"Farsund";71426;71400;74636;81090;79441;70791;70877
"Flekkefjord";59939;61764;61783;62500;63357;62483;64794
"Vennesla";52297;54555;56114;52668;52431;53519;54000
"Songdalen";94805;97953;108829;120717;146387;143844;150143
"Søgne";57852;57463;57067;56614;57508;57588;59020
"Marnardal";24092;22443;22936;22834;21742;22555;23474
"Åseral";25264;27766;28876;28116;28708;30193;30141
"Audnedal";26497;27222;27640;29205;29388;30372;31099
"Lindesnes";33582;36331;36914;36443;39336;43974;45971
"Lyngdal";89023;95196;96456;98584;103775;113787;123194
"Hægebostad";26562;29254;29608;29104;30045;29971;33494
"Kvinesdal";56317;58194;54238;52621;54650;56360;59412
"Sirdal";40513;47467;46759;50094;51320;52242;54381
"Eigersund";70517;71360;72446;72939;73918;74903;75734
"Sandnes";102049;100886;101158;100970;102989;101824;103500
"Stavanger";74626;75365;76569;76482;78813;79762;82210
"Haugesund";125554;125833;127301;128311;131152;132328;133585
"Sokndal";35683;45800;45091;39877;39360;37682;38645
"Lund";39820;45148;46737;45933;46830;44885;44320
"Bjerkreim";27273;26100;24396;24326;23930;23334;23739
"Hå";41670;40150;39296;38946;39712;41443;41907
"Klepp";44996;46568;47349;47748;49279;50264;51895
"Time";75885;79210;81620;81300;84750;85663;87661
"Gjesdal";50699;51223;51778;55060;60095;62190;65624
"Sola";52855;53434;54681;59334;63069;63524;64805
