137,Våler,Kirkebygden,Østfold,5100,256960,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/NO_0137_V%C3%A5ler.svg/45px-NO_0137_V%C3%A5ler.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/V%C3%A5ler_%C3%98stfold_komm.svg/46px-V%C3%A5ler_%C3%98stfold_komm.svg.png,Bokmål,Reidar Kaabbel,Sp
138,Hobøl,Elvestad,Østfold,5343,140390,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/NO_0138_Hob%C3%B8l.svg/45px-NO_0138_Hob%C3%B8l.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Hob%C3%B8l_komm.svg/46px-Hob%C3%B8l_komm.svg.png,Nøytral,Olav Peder Breivik,Høyre
211,Vestby,Vestby,Akershus,16310,133930,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/NO_0211_Vestby.svg/45px-NO_0211_Vestby.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Vestby_komm.svg/46px-Vestby_komm.svg.png,Bokmål,John A. Ødbehr,Høyre
213,Ski,Ski,Akershus,29775,165540,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/NO_0213_Ski.svg/45px-NO_0213_Ski.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Ski_komm.svg/46px-Ski_komm.svg.png,Nøytral,Anne Kristine Linnestad,Høyre
214,Ås,Ås,Akershus,18503,103120,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/NO_0214_%C3%85s.svg/45px-NO_0214_%C3%85s.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/%C3%85s_komm.svg/46px-%C3%85s_komm.svg.png,Nøytral,Johan Alnes,Ap
215,Frogn,Drøbak,Akershus,15656,85660,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/NO_0215_Frogn.svg/45px-NO_0215_Frogn.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Frogn_komm.svg/46px-Frogn_komm.svg.png,Bokmål,Thore Vestby,Høyre
216,Nesodden,Nesoddtangen,Akershus,18372,61480,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/NO_0216_Nesodden.svg/45px-NO_0216_Nesodden.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Nesodden_komm.svg/46px-Nesodden_komm.svg.png,Bokmål,Nina Sandberg,Ap
217,Oppegård,Kolbotn,Akershus,26580,37030,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/NO_0217_Oppeg%C3%A5rd.svg/45px-NO_0217_Oppeg%C3%A5rd.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Oppeg%C3%A5rd_komm.svg/46px-Oppeg%C3%A5rd_komm.svg.png,Bokmål,Ildri Eidem Løvaas,Høyre
219,Bærum,Sandvika,Akershus,120685,192320,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/NO_0219_B%C3%A6rum.svg/45px-NO_0219_B%C3%A6rum.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/B%C3%A6rum_komm.svg/46px-B%C3%A6rum_komm.svg.png,Bokmål,Lisbeth Hammer Krog,Høyre
220,Asker,Asker,Akershus,59571,100730,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/NO_0220_Asker.svg/45px-NO_0220_Asker.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Asker_komm.svg/46px-Asker_komm.svg.png,Bokmål,Lene Conradi,Høyre
